"","Country","City","AccentCity","Region","Population","Latitude","Longitude"
"658408","co","agua linda","Agua Linda","36",NA,5.762222,-74.200833
"658409","co","agualinda","Agualinda","36",NA,6.033333,-74.456389
"658410","co","agualisa","Agualisa","33",NA,5.569444,-73.816667
"658411","co","aguamansa","Aguamansa","25",NA,13.333333,-81.366667
"658412","co","agua mona","Agua Mona","29",NA,3.85,-76.516667
"658413","co","aguamuerta","Aguamuerta","02",NA,6.324722,-74.504722
"658414","co","aguanegra","Aguanegra","08",NA,1.013042,-75.304412
"658415","co","agua negra","Agua Negra","08",NA,1.083678,-75.534588
"658416","co","aguanegra","Aguanegra","09",NA,2.745596,-76.787879
"658417","co","agua negra","Agua Negra","12",NA,8.812016,-75.812748
"658418","co","agua negra","Agua Negra","22",NA,0.99564,-75.948815
"658419","co","aguanegra","Aguanegra","22",NA,0.91643,-76.416549
"658420","co","aguanegra","Aguanegra","26",NA,6.264167,-74.449722
"658421","co","aguanegro","Aguanegro","36",NA,5.778889,-74.469167
"658422","co","aguanta-callao","Aguanta-Callao","21",NA,8.284722,-72.489444
"658423","co","agua padilla","Agua Padilla","12",NA,8.719494,-75.435294
"658424","co","aguasal","Aguasal","11",NA,5.464297,-76.138766
"658425","co","aguasblancas","Aguasblancas","10",NA,10.223271,-73.491304
"658426","co","aguas blancas","Aguas Blancas","10",NA,8.262469,-73.654113
"658427","co","aguas blancas","Aguas Blancas","26",NA,6.834792,-73.801341
"658428","co","aguas blancas","Aguas Blancas","27",NA,8.714707,-74.741854
"658429","co","aguasblancas","Aguasblancas","38",NA,9.716111,-74.502222
"658430","co","aguasbuenas","Aguasbuenas","38",NA,10.266667,-74.2
"658431","co","aguas claras","Aguas Claras","12",NA,8.470064,-75.444257
"658432","co","aguas claras","Aguas Claras","16",NA,3.187778,-74.807778
"658433","co","aguas claras","Aguas Claras","19",NA,2.674975,-72.753723
"658434","co","aguasclaras","Aguasclaras","21",NA,8.323283,-73.353284
"658435","co","aguas claras","Aguas Claras","26",NA,6.5741,-73.931706
"658436","co","aguas claras","Aguas Claras","29",NA,4.616667,-76.183333
"658437","co","aguas claras","Aguas Claras","31",NA,5.515152,-70.35138
"658438","co","aguas claras","Aguas Claras","33",NA,5.05,-73.933333
"658439","co","aguas frias","Aguas Frias","02",NA,6.266609,-75.516725
"658440","co","aguas frias","Aguas Frías","10",NA,9.247456,-73.884369
"658441","co","aguas frias","Aguas Frias","35",NA,10.406413,-75.391594
"658442","co","aguas lindas","Aguas Lindas","19",NA,4.068378,-73.105011
"658443","co","aguas lindas","Aguas Lindas","29",NA,4.425556,-76.328889
"658444","co","aguas negras","Aguas Negras","10",NA,7.833333,-73.616667
"658445","co","aguas negras","Aguas Negras","12",NA,8.812016,-75.812748
"658446","co","aguas negras","Aguas Negras","27",NA,9.690761,-75.495863
"658447","co","aguas prietas","Aguas Prietas","12",NA,8.652778,-76.175
"658448","co","aguas prietas","Aguas Prietas","35",NA,10.386111,-75.426389
